# wavelength (microns), QE
13.3600,0.5917
13.3800,0.5915
13.4000,0.5913
13.4200,0.5912
13.4400,0.5910
13.4600,0.5909
13.4800,0.5907
13.5000,0.5905
13.5200,0.5927
13.5400,0.5949
13.5600,0.5972
13.5800,0.5994
13.6000,0.6016
13.6200,0.6038
13.6400,0.6059
13.6600,0.6081
13.6800,0.6103
13.7000,0.6125
13.7200,0.6147
13.7400,0.6169
13.7600,0.6191
13.7800,0.6212
13.8000,0.6234
13.8200,0.6256
13.8400,0.6278
13.8600,0.6300
13.8800,0.6322
13.9000,0.6344
13.9200,0.6366
13.9400,0.6389
13.9600,0.6411
13.9800,0.6433
14.0000,0.6456
14.0200,0.6494
14.0400,0.6533
14.0600,0.6572
14.0800,0.6610
14.1000,0.6649
14.1200,0.6687
14.1400,0.6726
14.1600,0.6765
14.1800,0.6804
14.2000,0.6842
14.2200,0.6880
14.2400,0.6918
14.2600,0.6957
14.2800,0.6995
14.3000,0.7033
14.3200,0.7072
14.3400,0.7110
14.3600,0.7148
14.3800,0.7187
14.4000,0.7225
14.4200,0.7226
14.4400,0.7227
14.4600,0.7228
14.4800,0.7229
14.5000,0.7229
14.5200,0.7227
14.5400,0.7225
14.5600,0.7223
14.5800,0.7222
14.6000,0.7220
14.6200,0.7218
14.6400,0.7216
14.6600,0.7214
14.6800,0.7212
14.7000,0.7210
14.7200,0.7208
14.7400,0.7206
14.7600,0.7205
14.7800,0.7203
14.8000,0.7202
14.8200,0.7200
14.8400,0.7199
14.8600,0.7197
14.8800,0.7196
14.9000,0.7194
14.9200,0.7193
14.9400,0.7191
14.9600,0.7190
14.9800,0.7188
15.0000,0.7187
15.0200,0.7182
15.0400,0.7178
15.0600,0.7173
15.0800,0.7168
15.1000,0.7162
15.1200,0.7156
15.1400,0.7151
15.1600,0.7145
15.1800,0.7140
15.2000,0.7134
15.2200,0.7128
15.2400,0.7123
15.2600,0.7117
15.2800,0.7112
15.3000,0.7106
15.3200,0.7100
