# wavelength (microns), QE
14.0800,0.5481
14.1000,0.5508
14.1200,0.5535
14.1400,0.5562
14.1600,0.5589
14.1800,0.5616
14.2000,0.5643
14.2200,0.5669
14.2400,0.5696
14.2600,0.5723
14.2800,0.5749
14.3000,0.5776
14.3200,0.5803
14.3400,0.5829
14.3600,0.5856
14.3800,0.5883
14.4000,0.5909
14.4200,0.5906
14.4400,0.5903
14.4600,0.5900
14.4800,0.5897
14.5000,0.5893
14.5200,0.5887
14.5400,0.5881
14.5600,0.5875
14.5800,0.5869
14.6000,0.5863
14.6200,0.5857
14.6400,0.5851
14.6600,0.5845
14.6800,0.5839
14.7000,0.5833
14.7200,0.5827
14.7400,0.5821
14.7600,0.5815
14.7800,0.5810
14.8000,0.5804
14.8200,0.5798
14.8400,0.5793
14.8600,0.5787
14.8800,0.5781
14.9000,0.5776
14.9200,0.5770
14.9400,0.5764
14.9600,0.5759
14.9800,0.5753
15.0000,0.5747
15.0200,0.5740
15.0400,0.5733
15.0600,0.5726
15.0800,0.5718
15.1000,0.5710
15.1200,0.5702
15.1400,0.5694
15.1600,0.5686
15.1800,0.5678
15.2000,0.5670
15.2200,0.5662
15.2400,0.5654
15.2600,0.5646
15.2800,0.5638
15.3000,0.5630
15.3200,0.5622
15.3400,0.5614
15.3600,0.5606
15.3800,0.5598
15.4000,0.5590
15.4200,0.5582
15.4400,0.5574
15.4600,0.5566
15.4800,0.5558
15.5000,0.5550
15.5200,0.5537
15.5400,0.5524
15.5600,0.5512
15.5800,0.5499
15.6000,0.5486
15.6200,0.5473
15.6400,0.5460
15.6600,0.5448
15.6800,0.5435
15.7000,0.5422
15.7200,0.5409
15.7400,0.5396
15.7600,0.5384
15.7800,0.5371
15.8000,0.5358
15.8200,0.5345
15.8400,0.5332
15.8600,0.5320
15.8800,0.5307
15.9000,0.5294
15.9200,0.5281
15.9400,0.5268
15.9600,0.5256
15.9800,0.5243
16.0000,0.5230
16.0200,0.5234
16.0400,0.5239
16.0600,0.5243
16.0800,0.5248
16.1000,0.5252
16.1200,0.5256
16.1400,0.5261
16.1600,0.5265
16.1800,0.5270
16.2000,0.5274
16.2200,0.5278
16.2400,0.5283
16.2600,0.5287
16.2800,0.5292
16.3000,0.5296
16.3200,0.5300
16.3400,0.5305
16.3600,0.5309
16.3800,0.5314
16.4000,0.5318
16.4200,0.5322
16.4400,0.5327
16.4600,0.5331
16.4800,0.5336
16.5000,0.5340
16.5200,0.5348
16.5400,0.5356
16.5600,0.5364
16.5800,0.5372
16.6000,0.5380
16.6200,0.5388
16.6400,0.5396
16.6600,0.5404
16.6800,0.5412
16.7000,0.5420
16.7200,0.5428
16.7400,0.5436
16.7600,0.5444
16.7800,0.5452
16.8000,0.5460
16.8200,0.5468
16.8400,0.5476
16.8600,0.5484
16.8800,0.5492
16.9000,0.5500
16.9200,0.5508
16.9400,0.5516
16.9600,0.5524
16.9800,0.5532
17.0000,0.5540
17.0200,0.5529
17.0400,0.5518
17.0600,0.5506
17.0800,0.5495
17.1000,0.5484
17.1200,0.5473
17.1400,0.5462
17.1600,0.5450
17.1800,0.5439
17.2000,0.5428
17.2200,0.5417
17.2400,0.5406
17.2600,0.5394
17.2800,0.5383
17.3000,0.5372
17.3200,0.5361
17.3400,0.5350
17.3600,0.5338
17.3800,0.5327
17.4000,0.5316
17.4200,0.5305
17.4400,0.5294
17.4600,0.5282
17.4800,0.5271
17.5000,0.5260
17.5200,0.5246
17.5400,0.5232
17.5600,0.5218
