# wavelength (microns), beta, x (microns), y (microns)
13.1268,0.0000,8144.5009,0.0000
13.1419,0.0000,8170.5761,0.0000
13.1569,0.0000,8196.6236,0.0000
13.1719,0.0000,8222.7298,0.0000
13.1869,0.0000,8248.8945,0.0000
13.2019,0.0000,8274.5931,0.0000
13.2163,0.0000,8299.7329,0.0000
13.2306,0.0000,8324.9253,0.0000
13.2450,0.0000,8350.1700,0.0000
13.2593,0.0000,8375.3783,0.0000
13.2736,0.0000,8400.6382,0.0000
13.2879,0.0000,8425.9490,0.0000
13.3022,0.0000,8450.9555,0.0000
13.3161,0.0000,8475.4770,0.0000
13.3298,0.0000,8499.9556,0.0000
13.3436,0.0000,8524.5687,0.0000
13.3574,0.0000,8549.2269,0.0000
13.3712,0.0000,8573.8401,0.0000
13.3849,0.0000,8598.4970,0.0000
13.3987,0.0000,8623.3767,0.0000
13.4126,0.0000,8648.5694,0.0000
13.4267,0.0000,8673.9860,0.0000
13.4408,0.0000,8699.4455,0.0000
13.4549,0.0000,8724.9474,0.0000
13.4690,0.0000,8750.5811,0.0000
13.4832,0.0000,8776.2553,0.0000
13.4973,0.0000,8801.6964,0.0000
13.5112,0.0000,8826.9930,0.0000
13.5251,0.0000,8852.3258,0.0000
13.5390,0.0000,8877.6937,0.0000
13.5529,0.0000,8903.0954,0.0000
13.5668,0.0000,8928.5298,0.0000
13.5807,0.0000,8953.9957,0.0000
13.5946,0.0000,8979.4917,0.0000
13.6085,0.0000,9004.8327,0.0000
13.6222,0.0000,9030.1088,0.0000
13.6360,0.0000,9055.5022,0.0000
13.6498,0.0000,9080.8275,0.0000
13.6635,0.0000,9106.1752,0.0000
13.6773,0.0000,9131.6359,0.0000
13.6911,0.0000,9157.0234,0.0000
13.7048,0.0000,9182.1511,0.0000
13.7183,0.0000,9207.2015,0.0000
13.7319,0.0000,9232.2654,0.0000
13.7454,0.0000,9257.2483,0.0000
13.7589,0.0000,9282.3335,0.0000
13.7725,0.0000,9307.4267,0.0000
13.7860,0.0000,9332.4331,0.0000
13.7995,0.0000,9357.0728,0.0000
13.8126,0.0000,9381.1585,0.0000
13.8255,0.0000,9405.0587,0.0000
13.8384,0.0000,9428.9570,0.0000
13.8513,0.0000,9452.8512,0.0000
13.8642,0.0000,9476.7393,0.0000
13.8771,0.0000,9500.6196,0.0000
