# wavelength (microns), beta, x (microns), y (microns)
1.0414,10.4000,32886.0000,724.1760
1.0423,10.4000,32868.0000,722.8854
1.0433,10.4000,32850.0000,721.6020
1.0443,10.4000,32832.0000,720.3258
1.0452,10.4000,32814.0000,719.0551
1.0462,10.4000,32796.0000,717.7914
1.0472,10.4000,32778.0000,716.5332
1.0482,10.4000,32760.0000,715.2804
1.0491,10.4000,32742.0000,714.0349
1.0501,10.4000,32724.0000,712.7964
1.0511,10.4000,32706.0000,711.5634
1.0520,10.4000,32688.0000,710.3376
1.0530,10.4000,32670.0000,709.1154
1.0540,10.4000,32652.0000,707.9022
1.0549,10.4000,32634.0000,706.6944
1.0559,10.4000,32616.0000,705.4920
1.0569,10.4000,32598.0000,704.2950
1.0579,10.4000,32580.0000,703.1070
1.0588,10.4000,32562.0000,701.9226
1.0598,10.4000,32544.0000,700.7454
1.0608,10.4000,32526.0000,699.5736
1.0617,10.4000,32508.0000,698.4072
1.0627,10.4000,32490.0000,697.2480
1.0637,10.4000,32472.0000,696.0960
1.0647,10.4000,32454.0000,694.9476
1.0656,10.4000,32436.0000,693.8064
1.0666,10.4000,32418.0000,692.6706
1.0676,10.4000,32400.0000,691.5420
1.0685,10.4000,32382.0000,690.4170
1.0695,10.4000,32364.0000,689.2992
1.0705,10.4000,32346.0000,688.1886
1.0714,10.4000,32328.0000,687.0816
1.0724,10.4000,32310.0000,685.9818
1.0734,10.4000,32292.0000,684.8875
1.0743,10.4000,32274.0000,683.7984
1.0753,10.4000,32256.0000,682.7148
1.0763,10.4000,32238.0000,681.6384
1.0773,10.4000,32220.0000,680.5674
1.0782,10.4000,32202.0000,679.5018
1.0792,10.4000,32184.0000,678.4416
1.0802,10.4000,32166.0000,677.3868
1.0811,10.4000,32148.0000,676.3392
1.0821,10.4000,32130.0000,675.2971
1.0831,10.4000,32112.0000,674.2584
1.0841,10.4000,32094.0000,673.2270
1.0850,10.4000,32076.0000,672.2009
1.0860,10.4000,32058.0000,671.1804
1.0870,10.4000,32040.0000,670.1670
1.0879,10.4000,32022.0000,669.1572
1.0889,10.4000,32004.0000,668.1528
1.0899,10.4000,31986.0000,667.1556
1.0908,10.4000,31968.0000,666.1620
1.0918,10.4000,31950.0000,665.1756
1.0928,10.4000,31932.0000,664.1928
1.0938,10.4000,31914.0000,663.2172
1.0947,10.4000,31896.0000,662.2470
1.0957,10.4000,31878.0000,661.2804
1.0967,10.4000,31860.0000,660.3210
1.0976,10.4000,31842.0000,659.3652
1.0986,10.4000,31824.0000,658.4166
1.0996,10.4000,31806.0000,657.4716
1.1005,10.4000,31788.0000,656.5338
1.1015,10.4000,31770.0000,655.6014
1.1025,10.4000,31752.0000,654.6726
1.1034,10.4000,31734.0000,653.7492
1.1044,10.4000,31716.0000,652.8312
1.1054,10.4000,31698.0000,651.9204
1.1064,10.4000,31680.0000,651.0132
1.1073,10.4000,31662.0000,650.1115
1.1083,10.4000,31644.0000,649.2150
1.1093,10.4000,31626.0000,648.3221
1.1102,10.4000,31608.0000,647.4366
1.1112,10.4000,31590.0000,646.5546
1.1122,10.4000,31572.0000,645.6798
1.1132,10.4000,31554.0000,644.8086
1.1141,10.4000,31536.0000,643.9428
1.1151,10.4000,31518.0000,643.0824
1.1161,10.4000,31500.0000,642.2256
1.1170,10.4000,31482.0000,641.3760
1.1180,10.4000,31464.0000,640.5300
1.1190,10.4000,31446.0000,639.6894
1.1199,10.4000,31428.0000,638.8542
1.1209,10.4000,31410.0000,638.0226
1.1219,10.4000,31392.0000,637.1982
1.1228,10.4000,31374.0000,636.3774
1.1238,10.4000,31356.0000,635.5620
1.1248,10.4000,31338.0000,634.7502
1.1258,10.4000,31320.0000,633.9438
1.1267,10.4000,31302.0000,633.1428
1.1277,10.4000,31284.0000,632.3472
1.1287,10.4000,31266.0000,631.5552
1.1296,10.4000,31248.0000,630.7704
1.1306,10.4000,31230.0000,629.9874
1.1316,10.4000,31212.0000,629.2116
1.1326,10.4000,31194.0000,628.4394
1.1335,10.4000,31176.0000,627.6726
1.1345,10.4000,31158.0000,626.9094
1.1355,10.4000,31140.0000,626.1516
1.1364,10.4000,31122.0000,625.3992
1.1374,10.4000,31104.0000,624.6504
1.1384,10.4000,31086.0000,623.9070
1.1393,10.4000,31068.0000,623.1672
1.1403,10.4000,31050.0000,622.4346
1.1413,10.4000,31032.0000,621.7038
1.1422,10.4000,31014.0000,620.9785
1.1432,10.4000,30996.0000,620.2584
1.1442,10.4000,30978.0000,619.5438
1.1452,10.4000,30960.0000,618.8328
1.1461,10.4000,30942.0000,618.1254
1.1471,10.4000,30924.0000,617.4234
1.1481,10.4000,30906.0000,616.7268
1.1490,10.4000,30888.0000,616.0338
1.1500,10.4000,30870.0000,615.3444
1.1510,10.4000,30852.0000,614.6622
1.1519,10.4000,30834.0000,613.9818
1.1529,10.4000,30816.0000,613.3068
1.1539,10.4000,30798.0000,612.6372
1.1549,10.4000,30780.0000,611.9712
1.1558,10.4000,30762.0000,611.3088
1.1568,10.4000,30744.0000,610.6519
1.1578,10.4000,30726.0000,610.0002
1.1587,10.4000,30708.0000,609.3503
1.1597,10.4000,30690.0000,608.7078
1.1607,10.4000,30672.0000,608.0670
1.1617,10.4000,30654.0000,607.4316
1.1626,10.4000,30636.0000,606.8016
1.1636,10.4000,30618.0000,606.1752
1.1646,10.4000,30600.0000,605.5524
1.1655,10.4000,30582.0000,604.9349
1.1665,10.4000,30564.0000,604.3212
1.1675,10.4000,30546.0000,603.7128
1.1684,10.4000,30528.0000,603.1062
1.1694,10.4000,30510.0000,602.5050
1.1704,10.4000,30492.0000,601.9092
1.1713,10.4000,30474.0000,601.3170
1.1723,10.4000,30456.0000,600.7285
1.1733,10.4000,30438.0000,600.1452
1.1743,10.4000,30420.0000,599.5638
1.1752,10.4000,30402.0000,598.9878
1.1762,10.4000,30384.0000,598.4172
1.1772,10.4000,30366.0000,597.8502
1.1781,10.4000,30348.0000,597.2869
1.1791,10.4000,30330.0000,596.7270
1.1801,10.4000,30312.0000,596.1708
1.1811,10.4000,30294.0000,595.6200
1.1820,10.4000,30276.0000,595.0728
1.1830,10.4000,30258.0000,594.5292
1.1840,10.4000,30240.0000,593.9910
1.1849,10.4000,30222.0000,593.4564
1.1859,10.4000,30204.0000,592.9254
1.1869,10.4000,30186.0000,592.3980
1.1878,10.4000,30168.0000,591.8742
1.1888,10.4000,30150.0000,591.3558
1.1898,10.4000,30132.0000,590.8410
1.1908,10.4000,30114.0000,590.3298
1.1917,10.4000,30096.0000,589.8221
1.1927,10.4000,30078.0000,589.3182
1.1937,10.4000,30060.0000,588.8196
1.1946,10.4000,30042.0000,588.3246
1.1956,10.4000,30024.0000,587.8314
1.1966,10.4000,30006.0000,587.3436
1.1975,10.4000,29988.0000,586.8612
1.1985,10.4000,29970.0000,586.3806
1.1995,10.4000,29952.0000,585.9036
1.2004,10.4000,29934.0000,585.4320
1.2014,10.4000,29916.0000,584.9622
1.2024,10.4000,29898.0000,584.4978
1.2034,10.4000,29880.0000,584.0370
1.2043,10.4000,29862.0000,583.5798
1.2053,10.4000,29844.0000,583.1262
1.2063,10.4000,29826.0000,582.6762
1.2072,10.4000,29808.0000,582.2298
1.2082,10.4000,29790.0000,581.7870
1.2092,10.4000,29772.0000,581.3478
1.2102,10.4000,29754.0000,580.9122
1.2111,10.4000,29736.0000,580.4820
1.2121,10.4000,29718.0000,580.0536
1.2131,10.4000,29700.0000,579.6288
1.2140,10.4000,29682.0000,579.2094
1.2150,10.4000,29664.0000,578.7917
1.2160,10.4000,29646.0000,578.3778
1.2169,10.4000,29628.0000,577.9692
1.2179,10.4000,29610.0000,577.5624
1.2189,10.4000,29592.0000,577.1610
1.2198,10.4000,29574.0000,576.7614
1.2208,10.4000,29556.0000,576.3654
1.2218,10.4000,29538.0000,575.9748
1.2228,10.4000,29520.0000,575.5860
1.2237,10.4000,29502.0000,575.2008
1.2247,10.4000,29484.0000,574.8192
1.2257,10.4000,29466.0000,574.4412
1.2266,10.4000,29448.0000,574.0668
1.2276,10.4000,29430.0000,573.6960
1.2286,10.4000,29412.0000,573.3288
1.2296,10.4000,29394.0000,572.9652
1.2305,10.4000,29376.0000,572.6034
1.2315,10.4000,29358.0000,572.2470
1.2325,10.4000,29340.0000,571.8924
1.2334,10.4000,29322.0000,571.5432
1.2344,10.4000,29304.0000,571.1958
1.2354,10.4000,29286.0000,570.8520
1.2363,10.4000,29268.0000,570.5118
1.2373,10.4000,29250.0000,570.1752
1.2383,10.4000,29232.0000,569.8404
1.2392,10.4000,29214.0000,569.5110
1.2402,10.4000,29196.0000,569.1834
1.2412,10.4000,29178.0000,568.8594
1.2422,10.4000,29160.0000,568.5408
1.2431,10.4000,29142.0000,568.2222
1.2441,10.4000,29124.0000,567.9090
1.2451,10.4000,29106.0000,567.5976
1.2460,10.4000,29088.0000,567.2916
