# wavelength (microns), QE
3.2410,0.8459
3.2420,0.8460
3.2430,0.8461
3.2440,0.8462
3.2450,0.8463
3.2460,0.8464
3.2470,0.8465
3.2480,0.8466
3.2490,0.8467
3.2500,0.8468
3.2510,0.8469
3.2520,0.8470
3.2530,0.8471
3.2540,0.8472
3.2550,0.8473
3.2560,0.8474
3.2570,0.8475
3.2580,0.8476
3.2590,0.8476
3.2600,0.8477
3.2610,0.8478
3.2620,0.8479
3.2630,0.8480
3.2640,0.8481
3.2650,0.8482
3.2660,0.8483
3.2670,0.8484
3.2680,0.8485
3.2690,0.8486
3.2700,0.8487
3.2710,0.8488
3.2720,0.8489
3.2730,0.8490
3.2740,0.8491
3.2750,0.8492
3.2760,0.8493
3.2770,0.8494
3.2780,0.8495
3.2790,0.8495
3.2800,0.8496
3.2810,0.8497
3.2820,0.8498
3.2830,0.8499
3.2840,0.8500
3.2850,0.8501
3.2860,0.8502
3.2870,0.8503
3.2880,0.8504
3.2890,0.8505
3.2900,0.8506
3.2910,0.8507
3.2920,0.8508
3.2930,0.8509
3.2940,0.8510
3.2950,0.8511
3.2960,0.8512
3.2970,0.8512
3.2980,0.8513
3.2990,0.8514
3.3000,0.8515
3.3010,0.8516
3.3020,0.8517
3.3030,0.8518
3.3040,0.8519
3.3050,0.8520
3.3060,0.8521
3.3070,0.8522
3.3080,0.8523
3.3090,0.8524
3.3100,0.8525
3.3110,0.8526
3.3120,0.8527
3.3130,0.8527
3.3140,0.8528
3.3150,0.8529
3.3160,0.8530
3.3170,0.8531
3.3180,0.8532
3.3190,0.8533
3.3200,0.8534
3.3210,0.8535
3.3220,0.8536
3.3230,0.8537
3.3240,0.8538
3.3250,0.8539
3.3260,0.8539
3.3270,0.8540
3.3280,0.8541
3.3290,0.8542
3.3300,0.8543
3.3310,0.8544
3.3320,0.8545
3.3330,0.8546
3.3340,0.8547
3.3350,0.8548
3.3360,0.8549
3.3370,0.8550
3.3380,0.8551
3.3390,0.8551
3.3400,0.8552
3.3410,0.8553
3.3420,0.8554
3.3430,0.8555
3.3440,0.8556
3.3450,0.8557
3.3460,0.8558
3.3470,0.8559
3.3480,0.8560
3.3490,0.8561
3.3500,0.8562
3.3510,0.8562
3.3520,0.8563
3.3530,0.8564
3.3540,0.8565
3.3550,0.8566
3.3560,0.8567
3.3570,0.8568
3.3580,0.8569
3.3590,0.8570
3.3600,0.8571
3.3610,0.8571
3.3620,0.8572
3.3630,0.8573
3.3640,0.8574
3.3650,0.8575
3.3660,0.8576
3.3670,0.8577
3.3680,0.8578
3.3690,0.8579
3.3700,0.8580
3.3710,0.8580
3.3720,0.8581
3.3730,0.8582
3.3740,0.8583
3.3750,0.8584
3.3760,0.8585
3.3770,0.8586
3.3780,0.8587
3.3790,0.8588
3.3800,0.8588
3.3810,0.8589
3.3820,0.8590
3.3830,0.8591
3.3840,0.8592
3.3850,0.8593
3.3860,0.8594
3.3870,0.8595
3.3880,0.8596
3.3890,0.8596
3.3900,0.8597
3.3910,0.8598
3.3920,0.8599
3.3930,0.8600
3.3940,0.8601
3.3950,0.8602
3.3960,0.8603
3.3970,0.8604
3.3980,0.8604
3.3990,0.8605
3.4000,0.8606
3.4010,0.8607
3.4020,0.8608
3.4030,0.8609
3.4040,0.8610
3.4050,0.8610
3.4060,0.8611
3.4070,0.8612
3.4080,0.8613
3.4090,0.8614
3.4100,0.8615
3.4110,0.8616
3.4120,0.8617
3.4130,0.8617
3.4140,0.8618
3.4150,0.8619
3.4160,0.8620
3.4170,0.8621
3.4180,0.8622
3.4190,0.8623
3.4200,0.8623
3.4210,0.8624
3.4220,0.8625
3.4230,0.8626
3.4240,0.8627
3.4250,0.8628
3.4260,0.8629
3.4270,0.8629
3.4280,0.8630
3.4290,0.8631
3.4300,0.8632
3.4310,0.8633
3.4320,0.8634
3.4330,0.8635
3.4340,0.8635
3.4350,0.8636
3.4360,0.8637
3.4370,0.8638
3.4380,0.8639
3.4390,0.8640
3.4400,0.8640
3.4410,0.8641
3.4420,0.8642
3.4430,0.8643
3.4440,0.8644
3.4450,0.8645
3.4460,0.8645
3.4470,0.8646
3.4480,0.8647
3.4490,0.8648
3.4500,0.8649
3.4510,0.8650
3.4520,0.8650
3.4530,0.8651
3.4540,0.8652
3.4550,0.8653
3.4560,0.8654
3.4570,0.8655
3.4580,0.8655
3.4590,0.8656
3.4600,0.8657
3.4610,0.8658
3.4620,0.8659
3.4630,0.8660
3.4640,0.8660
3.4650,0.8661
3.4660,0.8662
3.4670,0.8663
3.4680,0.8664
3.4690,0.8664
3.4700,0.8665
3.4710,0.8666
3.4720,0.8667
3.4730,0.8668
3.4740,0.8668
3.4750,0.8669
3.4760,0.8670
3.4770,0.8671
3.4780,0.8672
3.4790,0.8672
3.4800,0.8673
3.4810,0.8674
3.4820,0.8675
3.4830,0.8676
3.4840,0.8676
3.4850,0.8677
3.4860,0.8678
3.4870,0.8679
3.4880,0.8680
3.4890,0.8680
3.4900,0.8681
3.4910,0.8682
3.4920,0.8683
3.4930,0.8684
3.4940,0.8684
3.4950,0.8685
3.4960,0.8686
3.4970,0.8687
3.4980,0.8688
3.4990,0.8688
3.5000,0.8689
3.5010,0.8690
3.5020,0.8691
3.5030,0.8691
3.5040,0.8692
3.5050,0.8693
3.5060,0.8694
3.5070,0.8695
3.5080,0.8695
3.5090,0.8696
3.5100,0.8697
3.5110,0.8698
3.5120,0.8698
3.5130,0.8699
3.5140,0.8700
3.5150,0.8701
3.5160,0.8701
3.5170,0.8702
3.5180,0.8703
3.5190,0.8704
3.5200,0.8704
3.5210,0.8705
3.5220,0.8706
3.5230,0.8707
3.5240,0.8707
3.5250,0.8708
3.5260,0.8709
3.5270,0.8710
3.5280,0.8710
3.5290,0.8711
3.5300,0.8712
3.5310,0.8713
3.5320,0.8713
3.5330,0.8714
3.5340,0.8715
3.5350,0.8716
3.5360,0.8716
3.5370,0.8717
3.5380,0.8718
3.5390,0.8719
3.5400,0.8719
3.5410,0.8720
3.5420,0.8721
3.5430,0.8722
3.5440,0.8722
3.5450,0.8723
3.5460,0.8724
3.5470,0.8724
3.5480,0.8725
3.5490,0.8726
3.5500,0.8727
3.5510,0.8727
3.5520,0.8728
3.5530,0.8729
3.5540,0.8729
3.5550,0.8730
3.5560,0.8731
3.5570,0.8732
3.5580,0.8732
3.5590,0.8733
3.5600,0.8734
3.5610,0.8734
3.5620,0.8735
3.5630,0.8736
3.5640,0.8737
3.5650,0.8737
3.5660,0.8738
3.5670,0.8739
3.5680,0.8739
3.5690,0.8740
3.5700,0.8741
3.5710,0.8741
3.5720,0.8742
3.5730,0.8743
3.5740,0.8744
3.5750,0.8744
3.5760,0.8745
3.5770,0.8746
3.5780,0.8746
3.5790,0.8747
3.5800,0.8748
3.5810,0.8748
3.5820,0.8749
3.5830,0.8750
3.5840,0.8750
3.5850,0.8751
3.5860,0.8752
3.5870,0.8752
3.5880,0.8753
3.5890,0.8754
3.5900,0.8754
3.5910,0.8755
3.5920,0.8756
3.5930,0.8756
3.5940,0.8757
3.5950,0.8758
3.5960,0.8758
3.5970,0.8759
3.5980,0.8760
3.5990,0.8760
3.6000,0.8761
3.6010,0.8762
3.6020,0.8762
3.6030,0.8763
3.6040,0.8764
3.6050,0.8764
3.6060,0.8765
3.6070,0.8766
3.6080,0.8766
3.6090,0.8767
3.6100,0.8767
3.6110,0.8768
3.6120,0.8769
3.6130,0.8769
3.6140,0.8770
3.6150,0.8771
3.6160,0.8771
3.6170,0.8772
3.6180,0.8773
3.6190,0.8773
3.6200,0.8774
3.6210,0.8774
3.6220,0.8775
3.6230,0.8776
3.6240,0.8776
3.6250,0.8777
3.6260,0.8777
3.6270,0.8778
3.6280,0.8779
3.6290,0.8779
3.6300,0.8780
3.6310,0.8781
3.6320,0.8781
3.6330,0.8782
3.6340,0.8782
3.6350,0.8783
3.6360,0.8784
3.6370,0.8784
3.6380,0.8785
3.6390,0.8785
3.6400,0.8786
3.6410,0.8787
3.6420,0.8787
3.6430,0.8788
3.6440,0.8788
3.6450,0.8789
